LOAD_TIME,LOAD_WEIGHT
10/6/2004 10:12,740
10/6/2004 11:30,6020
10/6/2004 13:47,200
10/7/2004 10:51,780
10/7/2004 11:51,880
10/8/2004 9:15,460
10/9/2004 10:06,660
10/9/2004 11:12,4960
10/11/2004 0:00,6160
10/13/2004 0:00,5340
10/15/2004 11:03,5780
10/16/2004 10:03,1640
10/19/2004 8:13,3940
10/20/2004 15:10,800
10/20/2004 14:17,1180
10/21/2004 11:38,920
10/26/2004 7:38,6640
10/27/2004 11:38,1980
10/27/2004 11:48,300
10/28/2004 11:14,60
10/28/2004 8:30,320
10/30/2004 12:21,320
10/30/2004 7:37,4240
11/2/2004 11:34,4720
11/3/2004 11:38,3240
11/4/2004 12:00,1500
11/6/2004 10:58,1180
11/6/2004 9:48,1260
11/10/2004 8:53,1100
11/10/2004 10:46,400
11/10/2004 15:23,400
11/10/2004 9:54,1260
11/10/2004 0:00,4440
11/12/2004 9:11,3560
11/12/2004 9:08,340
11/16/2004 10:53,6500
11/17/2004 11:22,4100
11/17/2004 12:27,680
11/18/2004 11:50,120
11/20/2004 8:41,4800
11/27/2004 9:01,7740
11/27/2004 10:08,1480
11/29/2004 11:47,5580
11/30/2004 11:44,7880
12/1/2004 12:00,2940
12/4/2004 11:00,5540
12/6/2004 10:00,6840
12/7/2004 10:12,6140
12/8/2004 9:04,80
12/8/2004 11:55,560
12/13/2004 11:33,4400
12/15/2004 11:15,4700
12/17/2004 9:48,3940
12/17/2004 8:42,5000
12/17/2004 11:15,5380
12/18/2004 8:26,5720
12/21/2004 11:37,4640
12/22/2004 8:22,500
12/22/2004 11:44,160
12/23/2004 9:45,100
12/27/2004 11:33,2640
12/29/2004 8:00,3800
1/4/2005 10:11,7400
1/7/2005 11:15,380
1/7/2005 12:04,240
1/8/2005 10:39,5000
1/8/2005 11:15,17220
1/10/2005 13:41,3600
1/13/2005 12:00,640
1/13/2005 12:00,5560
1/15/2005 8:39,13980
1/18/2005 11:23,7400
1/19/2005 0:00,29060
1/19/2005 9:00,700
1/19/2005 10:50,320
1/20/2005 8:30,180
1/22/2005 9:49,3720
1/25/2005 7:06,4660
1/26/2005 0:00,2460
1/26/2005 2:04,280
1/29/2005 10:27,5720
2/2/2005 13:49,500
2/2/2005 11:50,5120
2/4/2005 8:20,5860
2/5/2005 9:49,7220
2/8/2005 11:45,5720
2/9/2005 0:00,2080
2/10/2005 9:53,520
2/12/2005 8:18,3020
2/16/2005 11:57,3780
2/16/2005 2:51,500
2/16/2005 11:51,4640
2/17/2005 11:13,1260
2/18/2005 11:35,4780
2/19/2005 10:00,5020
2/23/2005 11:16,4920
2/25/2005 7:42,940
3/1/2005 8:15,6980
3/2/2005 1:41,140
3/2/2005 10:36,640
3/2/2005 11:57,620
3/7/2005 7:54,10220
3/9/2005 12:06,4600
3/12/2005 10:57,3820
3/14/2005 11:45,4380
3/16/2005 11:41,300
3/16/2005 0:00,6680
3/17/2005 8:24,6100
3/17/2005 7:59,1880
3/18/2005 8:05,1640
3/18/2005 10:01,1940
3/19/2005 10:48,4000
3/23/2005 0:00,4680
3/23/2005 11:30,680
3/26/2005 8:58,4820
3/29/2005 7:25,5580
3/30/2005 14:40,1460
3/30/2005 11:29,2300
3/30/2005 11:31,900
3/31/2005 9:46,1600
3/31/2005 12:05,380
3/31/2005 12:02,860
4/2/2005 9:22,3800
4/4/2005 11:59,5080
4/6/2005 11:03,4640
4/7/2005 9:36,1300
4/9/2005 8:34,5520
4/9/2005 12:50,6400
4/11/2005 11:33,9640
4/13/2005 8:06,7560
4/15/2005 10:14,6320
4/16/2005 9:50,1420
4/20/2005 11:34,6080
4/23/2005 10:51,6860
4/23/2005 9:06,9780
4/28/2005 10:40,3260
4/30/2005 9:04,3760
5/2/2005 11:44,4860
